,borough,data_as_of,encoded_poly_line,encoded_poly_line_lvls,id,link_id,link_name,link_points,owner,speed,status,transcom_id,travel_time
20,Manhattan,2019-07-04T22:52:03.000,wcuwF\\|}nbMTkB?qAwAuRd@qEbBqKnMk]vB{Ir@_EtCwWLaF,BBBBBBBBBBB,364,4456511,QMT E Manhattan Side - Toll Plaza,"40.745726,-73.97359 40.745616,-73.97305 40.745616,-73.97264001 40.746054,-73.96949001 40.74586,-73.96844 40.745365,-73.96643 40.74304,-73.96157001 40.74244,-73.95983001 40.742185,-73.95887 40.74143,-73.95491001 40.74136,-73.95378001",NYC_DOT_LIC,27.96,0,4456511,192
21,Queens,2019-07-04T22:52:03.000,mizwFrndbM_HvKuC~C_PhLqWpQwKrHwBxAeBh@mBPoCKmBg@yBkAeRwOgFqDqGwFuDsCcAaAkOgJaBc@{Bn@w@~@u@hAi@pAiFvMoCnHqD~Kk@xCYtCmA\\|D,BBBBBBBBBBBBBBBBBBBBBBBBBBBBB,398,4456481,TBB S MANHATTAN LIFT SPAN - QUEENS ANCHORAGE,"40.77223,-73.919941 40.77367,-73.92198 40.7744206,-73.92278 40.77714,-73.924911 40.781071,-73.92788 40.78311,-73.929421 40.7837106,-73.929871 40.7842205,-73.93008 40.78477,-73.93017 40.78549,-73.93011 40.78604,-73.92991 40.78665,-73.92953 40.78972,-73.926",MTA Bridges & Tunnels,42.87,0,4456481,175
22,Brooklyn,2019-07-04T22:48:12.000,omgwFfhtbMeDnAaDbB_F\\|CqDzC_ARwAQqBy@qDuAmVoJkK}DsK_EcBc@yBAuBb@yBt@,BBBBBBBBBBBBBBBB,259,4616223,GOW N 9TH STREET - ATLANTIC AVENUE,"40.6756,-74.841 40.67643,-74.001241 40.6772405,-74.001741 40.6783605,-74.002531 40.67925,-74.00331 40.6795705,-74.00341 40.68001,-74.00332 40.6805806,-74.003031 40.6814704,-74.0026 40.68522,-74.76 40.6872004,-73.999811 40.6892206,-73.99885 40.68972,-73.99",NYC_DOT_LIC,9.94,0,4616223,392
23,Manhattan,2019-07-04T22:48:12.000,}btwFx\\|ubMsD_AgJcAcR{ByJ_AsBFiEbByCXaFuAkLiDsTaNsPoKmCmB,BBBBBBBBBBBBB,1,4616337,11th ave n ganservoort - 12th ave @ 40th st,"40.74047,-74.009251 40.74137,-74.00893 40.7431706,-74.008591 40.7462304,-74.00797 40.74812,-74.007651 40.748701,-74.007691 40.74971,-74.00819 40.75048,-74.008321 40.751611,-74.00789 40.7537504,-74.00704 40.75721,-74.00463 40.76003,-74.002631 40.7607405,-7",NYC_DOT_LIC,9.32,0,4616337,550
24,Bronx,2019-07-04T22:48:12.000,w`exF~xvaMmBaSkCiSw@iLScPW}Hy@eH_BmHcDeIaIaO{DwHyBiG_CsF_C{BmDuAgDIcC`@gDbAgCZ,BBBBBBBBBBBBBBBBBBB,126,4616247,BE N Castle Hill Avenue - Griswold Ave,"40.8271606,-73.84993 40.82771,-73.84671 40.8284105,-73.843471 40.82869,-73.84133 40.8287905,-73.8386 40.82891,-73.837 40.8292,-73.835541 40.82968,-73.834031 40.8305,-73.83239 40.83211,-73.82983 40.83305,-73.82826 40.83366,-73.82693 40.8343006,-73.82571",NYC_DOT_LIC,49.08,0,4616247,153
25,Queens,2019-07-04T22:48:12.000,otqwFbosaMlEuBbBmA~BsC~CuF`CqDxBcC\\|CgCbK{FnBg@bDYnCXvGb@lADvAA~AUhBm@zA{@vCsCzB_BtEkDzIuKxAiBnGcFbHuDpPaIlN_F,BBBBBBBBBBBBBBBBBBBBBBBBBBB,427,4616259,VWE S MP6.39 (Exit 11 Jewel Ave) - MP4.63 (Exit 6 Jamaica Ave),"40.7279205,-73.83298 40.7268904,-73.83239 40.72639,-73.832001 40.7257505,-73.83126 40.724951,-73.830031 40.724301,-73.829141 40.7236905,-73.82848 40.7229,-73.827801 40.7209605,-73.826541 40.7204005,-73.82634 40.71958,-73.82621 40.718861,-73.82634 40.71746",NYC_DOT_LIC,42.87,0,4616259,209
26,Staten Island,2019-07-04T22:48:12.000,_ucwFfokcM~FxO\\|BdKx@nHTzFw@vc@F~Dh@\\|BzAhDv@\\|@~`@dW`DtAbObFv]rKpUhHfFvAtMtBfH`@,BBBBBBBBBBBBBBBBBB,369,4616282,ROUTE 169 S - MLK WALKER STREET,"40.65632,-74.11972 40.655041,-74.12241 40.6544106,-74.124361 40.6541206,-74.125881 40.654011,-74.127141 40.65429,-74.13302 40.6542505,-74.133981 40.65404,-74.134611 40.6535805,-74.135461 40.6533,-74.135771 40.64786,-74.13964 40.64705,-74.140071 40.6444705",NYC_DOT_LIC,0.00,-101,4616282,0
27,Brooklyn,2019-07-04T22:48:12.000,ud_wF\\|gwbMgCCwATcBr@_BvAqDhGmGtL{AxB}AlAsBt@uBViCYeCy@wBqAkCeCeOcP_WgXm~@aaAmb@yc@cBuAwCqAmCUoDPuFdBsX`OwFlCaFzC{BvA,BBBBBBBBBBBBBBBBBBBBBBBBBBBB,262,4616319,GOW S 9TH STREET - 7TH AVENUE,"40.6332305,-74.016151 40.63391,-74.01613 40.6343505,-74.016241 40.63485,-74.016501 40.63533,-74.01694 40.63622,-74.01827 40.6375704,-74.02046 40.63803,-74.021071 40.6385,-74.02146 40.63908,-74.02173 40.63967,-74.02185 40.64036,-74.02172 40.64103,-74.02143",NYC_DOT_LIC,24.23,0,4616319,512
28,Manhattan,2019-07-04T22:48:12.000,oqjwFt}sbMwCn@gABoBWkF{AaE}AaBm@mJoDaI}Co@UoAmAyAwBiBiDi@eBg@yB_@mBS{BAuCBeARoCb@{Ej@aA~@_@t@HVXD^C`@u@hBWl@qCtDgChDsH`KyKtNcNjQaCfDiBnCaCrD,BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB,149,4616339,BQE N Atlantic Ave - BKN Bridge Manhattan Side,"40.6916,-73.99915 40.69236,-73.99939 40.69272,-73.999411 40.69328,-73.99929 40.6940504,-73.999001 40.694461,-73.998831 40.694931,-73.99862 40.69543,-73.99836 40.69592,-73.99813 40.69675,-73.99772 40.6977506,-73.997251 40.698871,-73.996721 40.6993606,-73.9",NYC_DOT_LIC,9.94,-101,4616339,689
29,Staten Island,2019-07-04T22:48:12.000,gv~vF~rpcMhF@bE[bDWbD@vCb@\\|D~@dCf@`Cv@jCjA~CzAhDfCrDjDfJ~IhDhDxB~AlDlBdEdArDp@jC\\|Bt@zBCjDeB~DgAzA,BBBBBBBBBBBBBBBBBBBBBBBB,351,4616210,MLK S - SIE W WALKER STREET - RICHMOND AVENUE,"40.63092,-74.14592 40.62975,-74.14593 40.62877,-74.14579 40.6279506,-74.145671 40.62713,-74.145681 40.62637,-74.14586 40.6254205,-74.14618 40.6247506,-74.146381 40.6241006,-74.146661 40.6234004,-74.14704 40.6226006,-74.147501 40.6217506,-74.148181 40.6208",NYC_DOT_LIC,0.00,-101,4616210,0
